,iid,gender,pid,match,int_corr,age_o,race_o,dec_o,age,race,from,goal,career,dining,gaming,clubbing,reading,shopping,Sports,Art,Musique,TV_Cinema,cosine_similarity
451,291,1,272.0,0,-0.04,25.0,2.0,0,27.0,4.0,New Jersey,1.0,doctor and entrepreneur,7.0,6.0,5.0,7.0,5.0,6.0,7.0,6.5,7.0,0.99
452,243,1,235.0,1,0.33,23.0,2.0,1,27.0,2.0,"Portland, Oregon",2.0,Professor,9.0,7.0,3.0,9.0,6.0,6.0,5.0,8.0,5.0,0.88
453,228,1,208.0,0,0.53,25.0,1.0,0,24.0,4.0,Germany,3.0,professor,8.0,4.0,6.0,9.0,2.0,5.5,4.0,8.5,2.0,0.916
454,268,0,274.0,1,-0.22,24.0,3.0,1,24.0,3.0,Texas,5.0,Medicine,5.0,5.0,5.0,8.0,4.0,6.0,4.0,4.0,5.0,0.912
455,433,0,444.0,0,0.13,26.0,2.0,0,30.0,6.0,Northern California,2.0,Writer,8.0,1.0,6.0,7.0,5.0,5.5,8.0,5.0,5.0,0.867
456,501,0,503.0,0,0.72,25.0,2.0,1,26.0,2.0,Upstate New York,5.0,epidemiologist,8.0,1.0,3.0,9.0,7.0,6.0,9.0,9.5,7.0,0.967
457,85,0,97.0,0,0.01,29.0,2.0,0,30.0,2.0,Arizona,2.0,Social Services/ Policy,9.0,4.0,7.0,8.0,5.0,3.5,6.0,6.5,4.0,0.878
458,245,1,235.0,0,0.43,23.0,2.0,0,32.0,2.0,"Lexington, MA",4.0,Academic (Law),6.0,8.0,6.0,9.0,1.0,3.5,7.0,6.0,2.0,0.806
459,9,0,11.0,0,0.19,27.0,2.0,0,26.0,6.0,"Palm Springs, California",1.0,"Congresswoman, and comedian",8.0,2.0,10.0,8.0,8.0,2.5,7.0,9.0,8.0,0.939
460,60,0,66.0,1,0.16,29.0,3.0,1,29.0,6.0,New Jersey,4.0,comedienne,9.0,1.0,5.0,5.0,5.0,4.0,5.0,7.5,2.0,0.865
461,340,1,324.0,1,0.0,23.0,2.0,1,26.0,6.0,Other,6.0,Other,8.0,3.0,6.0,8.0,6.0,6.0,7.0,7.5,6.0,0.985
462,230,1,211.0,1,0.25,28.0,2.0,1,42.0,2.0,"Detroit, Michigan, USA",2.0,consulting,1.0,1.0,1.0,10.0,10.0,4.0,10.0,7.5,10.0,0.875
463,201,0,217.0,0,-0.43,26.0,2.0,0,25.0,2.0,New York,1.0,Business,8.0,8.0,7.0,7.0,7.0,7.5,7.0,7.0,7.0,0.844
464,345,0,369.0,1,0.04,25.0,2.0,1,24.0,2.0,Brooklyn,2.0,Nutritionist,6.0,4.0,8.0,9.0,6.0,7.0,5.0,8.5,6.0,0.85
465,287,1,255.0,0,-0.02,26.0,4.0,0,22.0,4.0,Nepal,1.0,Writing,7.0,6.0,4.0,10.0,8.0,6.5,2.0,8.0,8.0,0.937
466,345,0,363.0,0,0.45,23.0,4.0,1,24.0,2.0,Brooklyn,2.0,Nutritionist,6.0,4.0,8.0,9.0,6.0,7.0,5.0,8.5,6.0,0.959
467,44,1,39.0,0,-0.01,24.0,3.0,0,24.0,2.0,Israel,1.0,academia,7.0,6.0,7.0,8.0,6.0,8.5,8.0,4.5,1.0,0.843
468,441,1,437.0,1,0.14,23.0,2.0,1,24.0,2.0,Boston,2.0,Corporate law,7.0,14.0,9.0,9.0,7.0,6.0,8.0,10.0,8.0,0.935
469,523,0,532.0,1,0.48,26.0,4.0,1,27.0,4.0,China,2.0,??,9.0,7.0,8.0,13.0,3.0,5.5,3.0,8.5,5.0,0.952
470,299,0,316.0,1,0.59,25.0,2.0,1,24.0,4.0,Maryland,2.0,Program development / policy work,8.0,4.0,9.0,9.0,5.0,7.0,8.0,8.0,6.0,0.988
471,521,0,551.0,1,-0.02,27.0,1.0,1,26.0,2.0,Salt Lake City,1.0,Exec. Director of social service non-profit,8.0,7.0,5.0,8.0,6.0,7.5,8.0,8.0,7.0,0.894
472,407,1,389.0,0,0.7,21.0,2.0,0,24.0,2.0,New Jersey,3.0,Screenwriter,9.0,4.0,2.0,9.0,7.0,7.0,9.0,9.0,5.0,0.978
473,104,1,92.0,0,0.8,29.0,2.0,0,27.0,2.0,Colorado,2.0,research in industry or academia,9.0,5.0,8.0,7.0,3.0,8.0,8.0,7.0,3.0,0.977
474,452,1,432.0,1,0.18,28.0,2.0,1,29.0,4.0,Singapore,1.0,private equity,7.0,7.0,9.0,8.0,5.0,8.0,8.0,9.0,7.0,0.908
475,199,0,230.0,0,0.1,42.0,2.0,1,30.0,2.0,New York,4.0,Historian,10.0,1.0,7.0,10.0,7.0,4.5,10.0,4.0,4.0,0.812
476,404,1,389.0,1,-0.05,21.0,2.0,1,23.0,2.0,France,2.0,Investment Banking,10.0,7.0,9.0,8.0,6.0,8.5,8.0,7.5,5.0,0.89
477,181,0,189.0,0,-0.22,27.0,6.0,0,22.0,1.0,"Brooklyn, NY",1.0,academic research,9.0,3.0,9.0,9.0,9.0,5.5,9.0,9.0,9.0,0.941
478,349,0,367.0,1,0.13,27.0,2.0,1,33.0,2.0,New York,1.0,Director of Training and Development,8.0,1.0,6.0,7.0,6.0,7.0,8.0,8.5,4.0,0.949
479,148,0,166.0,0,0.09,26.0,6.0,1,27.0,4.0,"Cherry Hill, NJ",5.0,Business,9.0,2.0,1.0,10.0,9.0,6.5,9.0,6.0,9.0,0.861
480,91,0,103.0,1,0.12,26.0,2.0,1,25.0,6.0,California,1.0,Lawyer,7.0,3.0,5.0,7.0,6.0,4.5,7.0,7.5,7.0,0.972
481,536,1,516.0,1,0.44,27.0,4.0,1,29.0,2.0,Italy,1.0,Finance,8.0,2.0,7.0,8.0,7.0,4.0,7.0,8.0,6.0,0.983
482,37,0,40.0,0,0.13,25.0,4.0,0,27.0,2.0,"Cincinnati, OH",2.0,Organizational Change Consultant,10.0,6.0,7.0,5.0,4.0,6.5,9.0,7.5,6.0,0.958
483,239,0,249.0,0,0.32,33.0,6.0,0,34.0,2.0,"Born in Montana, raised in South Jersey (nr. Philadelphia)",2.0,Conservation training and education,8.0,1.0,6.0,9.0,1.0,6.5,8.0,6.5,6.0,0.932
484,293,1,268.0,1,0.06,24.0,3.0,1,28.0,3.0,Northern New Jersey,2.0,Pharmaceuticals/Consulting,10.0,6.0,8.0,9.0,6.0,6.0,8.0,8.0,9.0,0.967
485,289,1,266.0,1,0.27,28.0,2.0,1,28.0,4.0,California,1.0,Venture Capital/Consulting/Government,7.0,5.0,3.0,10.0,2.0,5.5,5.0,7.0,6.0,0.895
486,335,1,330.0,0,0.31,22.0,4.0,0,24.0,2.0,Michigan,1.0,research,4.0,1.0,4.0,8.0,5.0,8.0,7.0,5.5,4.0,0.878
487,357,0,374.0,1,-0.01,30.0,4.0,1,27.0,4.0,"atlanta, ga",1.0,education,10.0,1.0,7.0,10.0,8.0,5.0,10.0,7.0,6.0,0.909
488,544,1,530.0,1,0.18,22.0,4.0,1,23.0,4.0,San Francisco,1.0,Physician,10.0,14.0,9.0,2.0,10.0,3.0,7.0,8.5,8.0,0.927
489,13,1,1.0,1,0.16,21.0,4.0,1,22.0,4.0,Southern California,2.0,Lawyer,9.0,7.0,7.0,6.0,8.0,3.0,6.0,9.0,8.0,0.913
490,129,1,121.0,0,0.12,21.0,2.0,0,26.0,2.0,New Jersey,3.0,entrepeneur,9.0,2.0,6.0,9.0,4.0,7.0,4.0,6.0,4.0,0.912
491,510,0,549.0,1,0.07,28.0,2.0,1,26.0,3.0,Chile,2.0,Professor,10.0,5.0,7.0,9.0,1.0,7.5,7.0,6.0,1.0,0.881
492,142,0,171.0,1,-0.36,29.0,2.0,1,24.0,2.0,california,1.0,professor,6.0,14.0,7.0,6.0,6.0,6.0,5.0,7.0,6.0,0.828
493,97,1,86.0,1,-0.07,22.0,2.0,1,29.0,2.0,"Brooklyn, NY",2.0,Professor,3.0,1.0,5.0,8.0,3.0,6.0,3.0,5.0,7.0,0.853
494,276,1,260.0,1,0.39,27.0,4.0,1,26.0,2.0,"New Hope, PA",2.0,Academia,9.0,3.0,6.0,9.0,2.0,4.0,8.0,6.5,2.0,0.924
495,319,1,297.0,1,-0.36,21.0,2.0,1,26.0,2.0,New Jersey,6.0,I am a teacher.,7.0,7.0,1.0,5.0,2.0,6.5,4.0,9.5,7.0,0.864
496,285,1,253.0,1,0.01,33.0,4.0,1,24.0,6.0,International Student,4.0,finance or engineering,10.0,14.0,5.0,9.0,10.0,7.5,9.0,10.0,7.0,0.869
497,446,1,434.0,0,0.28,27.0,2.0,0,28.0,3.0,"Bogota, Colombia",1.0,Finance,8.0,3.0,6.0,6.0,3.0,7.5,7.0,6.5,5.0,0.861
498,181,0,185.0,1,0.62,25.0,4.0,1,22.0,1.0,"Brooklyn, NY",1.0,academic research,9.0,3.0,9.0,9.0,9.0,5.5,9.0,9.0,9.0,0.981
499,437,0,448.0,1,0.41,22.0,2.0,1,23.0,2.0,North Carolina,1.0,Social Work,8.0,5.0,6.0,9.0,5.0,6.5,9.0,10.0,7.0,0.955
500,264,0,288.0,0,0.38,27.0,2.0,0,26.0,2.0,"Washington, D.C.",1.0,College Professor,5.0,1.0,5.0,9.0,2.0,6.5,7.0,4.0,7.0,0.94
501,332,1,328.0,0,0.7,30.0,2.0,0,30.0,4.0,japan,3.0,medical examiner or researcher,5.0,3.0,7.0,9.0,7.0,7.0,10.0,7.0,5.0,0.954
502,306,0,316.0,0,-0.39,25.0,2.0,0,22.0,4.0,Taiwan,1.0,professor in college,8.0,4.0,5.0,6.0,9.0,6.5,5.0,5.0,9.0,0.905
503,430,0,442.0,0,0.15,25.0,2.0,1,22.0,4.0,California,1.0,Elementary school teacher,6.0,2.0,4.0,4.0,5.0,7.0,3.0,8.0,9.0,0.786
504,142,0,167.0,1,-0.63,23.0,2.0,1,24.0,2.0,california,1.0,professor,6.0,14.0,7.0,6.0,6.0,6.0,5.0,7.0,6.0,0.805
505,92,0,97.0,1,0.17,29.0,2.0,1,29.0,2.0,San Francisco,5.0,Microfinancing Program Manager,10.0,2.0,9.0,10.0,6.0,8.5,9.0,9.0,4.0,0.905
506,55,1,38.0,1,0.11,23.0,1.0,1,23.0,1.0,California,6.0,LAWYER,5.0,6.0,10.0,9.0,5.0,2.5,5.0,8.5,8.0,0.845
507,448,1,439.0,1,0.5,29.0,2.0,1,22.0,2.0,New York City,1.0,Business Management,9.0,5.0,9.0,7.0,6.0,3.5,8.0,8.0,3.0,0.95
508,304,0,319.0,0,-0.27,26.0,2.0,0,28.0,2.0,NYC-6 yrs. Grew up in Nebraska,1.0,Speech Pathologist,7.0,1.0,4.0,8.0,8.0,8.5,8.0,7.0,1.0,0.787
509,339,1,330.0,0,0.0,22.0,4.0,0,26.0,6.0,Other,6.0,Other,8.0,3.0,6.0,8.0,6.0,6.0,7.0,7.5,6.0,0.963
510,217,1,213.0,1,0.25,25.0,3.0,1,26.0,2.0,Houston,5.0,Academic Physician,7.0,1.0,2.0,10.0,1.0,7.5,8.0,10.0,4.0,0.871
511,519,0,539.0,0,0.25,22.0,2.0,0,26.0,2.0,Boston,2.0,School Leadership/Politics,5.0,2.0,3.0,9.0,2.0,8.0,7.0,7.5,5.0,0.915
512,212,0,215.0,1,0.17,26.0,4.0,1,27.0,3.0,New York City,1.0,Finance,8.0,6.0,9.0,8.0,8.0,8.0,8.0,6.5,8.0,0.96
513,522,0,549.0,1,0.29,28.0,2.0,1,22.0,2.0,Pennsylvania,1.0,Assistant District Attorney,7.0,3.0,7.0,9.0,5.0,4.5,9.0,7.0,8.0,0.948
514,328,0,335.0,0,0.59,24.0,2.0,0,30.0,2.0,NYC,2.0,Teacher,10.0,1.0,5.0,10.0,5.0,10.0,10.0,10.0,7.0,0.971
515,522,0,542.0,0,0.54,23.0,4.0,1,22.0,2.0,Pennsylvania,1.0,Assistant District Attorney,7.0,3.0,7.0,9.0,5.0,4.5,9.0,7.0,8.0,0.964
516,19,1,1.0,1,0.28,21.0,4.0,1,28.0,2.0,california,4.0,ceo,10.0,7.0,9.0,8.0,7.0,10.0,5.0,7.0,7.0,0.912
517,349,0,368.0,1,0.08,24.0,6.0,1,33.0,2.0,New York,1.0,Director of Training and Development,8.0,1.0,6.0,7.0,6.0,7.0,8.0,8.5,4.0,0.912
518,439,0,440.0,0,0.38,21.0,2.0,0,29.0,2.0,Baltimore,2.0,Bilingual Elementary School Teacher,9.0,1.0,7.0,9.0,6.0,7.0,8.0,9.0,6.0,0.896
519,81,0,96.0,0,0.37,26.0,3.0,1,28.0,2.0,Texas,5.0,Journalism,9.0,1.0,7.0,7.0,7.0,6.5,9.0,7.0,7.0,0.972
520,201,0,232.0,0,-0.18,31.0,2.0,0,25.0,2.0,New York,1.0,Business,8.0,8.0,7.0,7.0,7.0,7.5,7.0,7.0,7.0,0.954
521,392,0,399.0,0,0.5,29.0,2.0,0,26.0,2.0,"New York, NY",5.0,Writer/teacher,9.0,1.0,3.0,10.0,7.0,5.5,9.0,7.5,6.0,0.941
522,368,1,355.0,0,0.06,24.0,2.0,0,24.0,6.0,UK/Turkey,1.0,Journalist,8.0,8.0,9.0,9.0,8.0,4.0,7.0,8.5,9.0,0.901
523,237,0,250.0,1,0.6,25.0,6.0,1,34.0,2.0,lOS aNGELES,3.0,WRITING,7.0,1.0,1.0,10.0,2.0,9.5,8.0,5.5,6.0,0.921
524,370,1,351.0,0,0.15,35.0,4.0,1,28.0,2.0,New York,3.0,Consulting,7.0,1.0,6.0,7.0,4.0,5.0,6.0,7.0,2.0,0.964
525,169,1,142.0,1,-0.59,24.0,2.0,1,28.0,2.0,"Buffalo, NY",2.0,"Research scientist, professor",9.0,1.0,6.0,4.0,4.0,7.5,7.0,8.0,6.0,0.784
526,249,1,234.0,0,0.3,22.0,6.0,0,33.0,6.0,Chile,2.0,Wall Street Economist,10.0,1.0,6.0,10.0,4.0,1.0,6.0,6.5,8.0,0.954
527,126,1,112.0,1,0.3,20.0,6.0,1,22.0,2.0,"New York, NY",4.0,medicine,8.0,2.0,7.0,10.0,6.0,7.0,8.0,9.5,8.0,0.921
528,524,0,537.0,0,0.48,22.0,4.0,0,25.0,4.0,Michigan,2.0,physician/healthcare,9.0,3.0,8.0,7.0,7.0,5.5,8.0,5.0,7.0,0.965
529,299,0,320.0,0,0.55,36.0,2.0,0,24.0,4.0,Maryland,2.0,Program development / policy work,8.0,4.0,9.0,9.0,5.0,7.0,8.0,8.0,6.0,0.858
530,479,0,490.0,0,-0.09,29.0,2.0,0,27.0,2.0,colorado,1.0,Banking,9.0,1.0,7.0,5.0,7.0,9.5,7.0,7.0,7.0,0.922
531,305,0,315.0,1,0.53,27.0,2.0,1,29.0,4.0,philippines,1.0,teaching/education,10.0,2.0,7.0,8.0,9.0,8.0,7.0,7.0,7.0,0.914
532,86,0,100.0,1,0.32,30.0,6.0,1,22.0,2.0,"Minneapolis, MN",2.0,Professor of Media Studies,4.0,1.0,6.0,4.0,2.0,2.0,7.0,10.0,7.0,0.873
533,190,1,179.0,1,0.22,30.0,3.0,1,25.0,2.0,Azerbaijan,2.0,Development work on field in the middle of nowhere,3.0,5.0,9.0,8.0,3.0,6.5,2.0,9.5,7.0,0.845
534,105,1,76.0,1,0.02,34.0,2.0,1,25.0,1.0,Texas,2.0,Law,8.0,4.0,7.0,8.0,5.0,5.5,5.0,5.5,7.0,0.968
535,411,1,383.0,0,0.29,27.0,2.0,0,34.0,2.0,Washington DC,3.0,M&A Advisory,7.0,3.0,1.0,8.0,8.0,4.5,7.0,8.5,6.0,0.947
536,14,1,7.0,1,-0.46,22.0,4.0,1,23.0,2.0,"Cincinnati, Ohio",2.0,Corporate attorney,8.0,8.0,8.0,6.0,6.0,9.0,3.0,7.0,7.0,0.892
537,379,0,402.0,1,0.14,29.0,4.0,1,38.0,2.0,"NYC, San Francisco",2.0,Media Marketing/Entrepreneurship,7.0,2.0,2.0,6.0,3.0,5.5,8.0,6.0,7.0,0.861
538,282,1,252.0,0,-0.15,28.0,3.0,0,23.0,1.0,UNCC,1.0,enterpreneur,5.0,7.0,8.0,9.0,5.0,7.0,4.0,8.5,7.0,0.921
539,552,1,524.0,1,0.59,25.0,4.0,1,25.0,2.0,France,1.0,assistant master of the universe (otherwise it's too much work),10.0,1.0,9.0,8.0,7.0,6.0,10.0,10.0,3.0,0.953
540,437,0,444.0,0,-0.08,26.0,2.0,0,23.0,2.0,North Carolina,1.0,Social Work,8.0,5.0,6.0,9.0,5.0,6.5,9.0,10.0,7.0,0.871
541,307,0,316.0,1,0.33,25.0,2.0,1,27.0,4.0,Virginia,5.0,Teacher,9.0,1.0,5.0,10.0,9.0,10.0,9.0,9.0,8.0,0.948
542,193,1,175.0,1,0.39,23.0,6.0,1,25.0,4.0,new york city,1.0,lawyer,9.0,1.0,4.0,10.0,9.0,6.0,9.0,9.0,10.0,0.957
543,80,0,104.0,0,-0.12,27.0,2.0,0,27.0,4.0,China,1.0,industrial scientist,5.0,1.0,5.0,10.0,9.0,5.0,5.0,7.0,7.0,0.85
544,346,0,363.0,0,0.0,23.0,4.0,1,26.0,6.0,Other,6.0,Other,8.0,3.0,6.0,8.0,6.0,6.0,7.0,7.5,6.0,0.963
545,166,1,147.0,1,0.19,26.0,4.0,1,26.0,6.0,Washington DC Metro Region,5.0,Finance,4.0,1.0,3.0,9.0,1.0,6.0,4.0,8.5,5.0,0.894
546,122,1,116.0,1,0.08,21.0,2.0,1,22.0,6.0,Long Island,1.0,Lawyer,9.0,6.0,6.0,6.0,5.0,6.0,7.0,8.0,8.0,0.971
547,403,1,395.0,0,0.01,33.0,2.0,0,22.0,2.0,Paris,5.0,Work in an investment bank,7.0,3.0,3.0,5.0,2.0,4.0,4.0,4.5,8.0,0.879
548,264,0,273.0,0,0.32,29.0,2.0,0,26.0,2.0,"Washington, D.C.",1.0,College Professor,5.0,1.0,5.0,9.0,2.0,6.5,7.0,4.0,7.0,0.856
549,141,1,135.0,1,-0.01,26.0,2.0,1,28.0,3.0,Colombia,1.0,MBA,9.0,5.0,7.0,3.0,6.0,6.5,5.0,8.5,10.0,0.731
550,422,1,420.0,1,0.72,22.0,2.0,1,26.0,2.0,Florida,2.0,Fundraising for Non-Profits,9.0,2.0,4.0,7.0,7.0,8.5,9.0,6.0,5.0,0.97
551,113,0,126.0,1,0.44,22.0,2.0,1,21.0,2.0,"Milwaukee, Wisconsin",1.0,What a question!,10.0,2.0,6.0,8.0,10.0,7.0,9.0,9.5,7.0,0.976
552,518,0,548.0,1,-0.1,30.0,2.0,1,23.0,2.0,San Diego,5.0,Actress,8.0,5.0,9.0,9.0,9.0,4.5,7.0,7.0,8.0,0.88
553,84,0,98.0,0,0.45,39.0,2.0,1,32.0,3.0,spain,2.0,pharmaceuticals,9.0,1.0,9.0,9.0,5.0,6.0,9.0,9.0,1.0,0.872
554,99,1,87.0,1,0.24,23.0,2.0,1,28.0,2.0,New York,3.0,Lawyer,8.0,5.0,9.0,6.0,8.0,5.0,10.0,10.0,6.0,0.963
555,9,0,17.0,1,0.21,30.0,2.0,1,26.0,6.0,"Palm Springs, California",1.0,"Congresswoman, and comedian",8.0,2.0,10.0,8.0,8.0,2.5,7.0,9.0,8.0,0.888
556,167,1,152.0,1,-0.17,27.0,4.0,1,23.0,2.0,colorado,2.0,professor,6.0,2.0,5.0,6.0,3.0,8.5,8.0,6.5,8.0,0.911
557,449,1,433.0,0,0.44,30.0,6.0,0,23.0,6.0,New York,1.0,Business/Law,8.0,3.0,1.0,9.0,4.0,5.5,6.0,4.0,7.0,0.931
558,295,0,321.0,0,0.31,29.0,2.0,0,30.0,2.0,Arizona,2.0,High School Social Studies Teacher,5.0,1.0,2.0,10.0,5.0,7.5,7.0,8.0,8.0,0.859
559,323,0,332.0,1,0.33,30.0,4.0,1,25.0,4.0,Taiwan,2.0,Education,7.0,6.0,6.0,7.0,8.0,6.5,8.0,8.0,8.0,0.964
560,217,1,197.0,1,0.35,24.0,6.0,1,26.0,2.0,Houston,5.0,Academic Physician,7.0,1.0,2.0,10.0,1.0,7.5,8.0,10.0,4.0,0.885
561,482,1,478.0,0,0.38,26.0,2.0,0,30.0,2.0,Florida,2.0,Management Consulting,9.0,2.0,5.0,9.0,4.0,6.5,6.0,3.0,7.0,0.939
562,280,1,264.0,1,0.54,26.0,2.0,1,25.0,2.0,Budapest,3.0,Scientist,5.0,4.0,2.0,10.0,2.0,5.0,6.0,7.5,2.0,0.895
563,359,0,375.0,0,-0.38,27.0,2.0,0,26.0,2.0,California,2.0,"reorganizing society. no, I am not being flip.",7.0,8.0,1.0,10.0,1.0,3.0,2.0,8.0,3.0,0.724
564,363,1,352.0,1,0.06,29.0,6.0,1,23.0,4.0,"nashville, TN",3.0,investment banking,10.0,6.0,9.0,7.0,8.0,6.5,5.0,6.0,5.0,0.926
565,352,0,369.0,1,0.3,25.0,2.0,1,29.0,6.0,Taiwan,2.0,Artist,10.0,4.0,5.0,5.0,7.0,8.0,10.0,10.0,8.0,0.847
566,412,1,387.0,1,-0.09,25.0,2.0,1,27.0,2.0,New Jersey,1.0,millionaire,5.0,7.0,3.0,8.0,4.0,7.0,8.0,8.0,6.0,0.899
567,473,0,488.0,0,0.48,29.0,4.0,0,34.0,4.0,Belgium,2.0,Clinic Trial,8.0,6.0,6.0,9.0,7.0,7.0,8.0,9.0,8.0,0.944
568,485,1,476.0,1,-0.15,25.0,2.0,1,29.0,1.0,"South Orange, New Jersey",2.0,writer/teacher,7.0,6.0,6.0,9.0,7.0,5.0,7.0,7.5,8.0,0.887
569,346,0,378.0,1,0.0,29.0,2.0,1,26.0,6.0,Other,6.0,Other,8.0,3.0,6.0,8.0,6.0,6.0,7.0,7.5,6.0,0.967
570,30,0,49.0,1,0.16,25.0,4.0,1,23.0,2.0,Boston,1.0,Lawyer,7.0,1.0,7.0,8.0,6.0,4.5,4.0,8.0,6.0,0.902
571,269,0,288.0,1,0.42,27.0,2.0,1,24.0,2.0,New Jersey,2.0,professor,8.0,3.0,1.0,10.0,4.0,5.5,8.0,7.5,3.0,0.955
572,425,1,421.0,0,-0.23,25.0,4.0,0,28.0,2.0,"New York, NY",2.0,General Management,8.0,2.0,7.0,5.0,2.0,6.0,6.0,6.0,7.0,0.852
573,383,0,397.0,1,0.55,24.0,2.0,1,27.0,2.0,Massachusetts,3.0,Director of Admissions,9.0,1.0,5.0,6.0,7.0,7.0,8.0,7.5,9.0,0.98
574,208,0,224.0,1,0.02,32.0,2.0,1,25.0,1.0,PA,2.0,Biotech/business,9.0,5.0,8.0,8.0,9.0,8.5,10.0,10.0,7.0,0.874
575,532,1,527.0,0,-0.16,24.0,6.0,0,26.0,4.0,California,1.0,ASIC Engineer,8.0,8.0,6.0,9.0,5.0,5.0,6.0,6.5,8.0,0.932
576,469,0,488.0,0,0.31,29.0,4.0,0,25.0,4.0,"Tokyo, Japan",2.0,Work at the UN,7.0,3.0,4.0,7.0,6.0,8.0,7.0,7.5,7.0,0.93
577,55,1,30.0,1,0.49,23.0,2.0,1,23.0,1.0,California,6.0,LAWYER,5.0,6.0,10.0,9.0,5.0,2.5,5.0,8.5,8.0,0.944
578,176,0,191.0,1,0.32,28.0,2.0,1,28.0,4.0,California,2.0,Finance,10.0,4.0,4.0,5.0,6.0,6.0,9.0,8.0,6.0,0.893
579,149,0,161.0,0,-0.11,22.0,2.0,0,28.0,2.0,Minneapolis,1.0,Professor and Government Official,8.0,3.0,6.0,6.0,9.0,8.0,8.0,8.5,6.0,0.95
580,86,0,105.0,1,-0.06,25.0,1.0,1,22.0,2.0,"Minneapolis, MN",2.0,Professor of Media Studies,4.0,1.0,6.0,4.0,2.0,2.0,7.0,10.0,7.0,0.867
581,404,1,394.0,1,0.1,24.0,2.0,1,23.0,2.0,France,2.0,Investment Banking,10.0,7.0,9.0,8.0,6.0,8.5,8.0,7.5,5.0,0.871
582,282,1,263.0,1,-0.44,26.0,1.0,1,23.0,1.0,UNCC,1.0,enterpreneur,5.0,7.0,8.0,9.0,5.0,7.0,4.0,8.5,7.0,0.865
583,366,1,350.0,1,0.02,31.0,2.0,1,27.0,2.0,Australia,1.0,Art Management,8.0,6.0,8.0,9.0,8.0,6.0,9.0,10.0,6.0,0.975
584,406,1,380.0,1,0.13,33.0,1.0,1,27.0,4.0,Minneapolis,1.0,Finance,9.0,6.0,6.0,7.0,2.0,6.0,7.0,8.5,7.0,0.895
585,49,1,34.0,1,-0.01,21.0,4.0,1,25.0,4.0,Philadelphia,1.0,Entrepreneur,7.0,8.0,7.0,9.0,2.0,6.0,6.0,6.5,6.0,0.936
586,31,0,50.0,1,-0.04,27.0,1.0,1,24.0,2.0,"Washington, DC",1.0,law,10.0,2.0,6.0,6.0,10.0,6.5,7.0,6.5,8.0,0.936
587,427,1,419.0,0,0.2,28.0,2.0,1,28.0,2.0,California,1.0,Energy,8.0,1.0,3.0,8.0,1.0,10.0,7.0,8.5,1.0,0.842
588,509,0,537.0,1,0.67,22.0,4.0,1,28.0,4.0,working,2.0,journalism,7.0,3.0,4.0,6.0,7.0,6.0,7.0,6.0,4.0,0.974
589,392,0,409.0,0,0.43,23.0,2.0,0,26.0,2.0,"New York, NY",5.0,Writer/teacher,9.0,1.0,3.0,10.0,7.0,5.5,9.0,7.5,6.0,0.907
590,82,0,107.0,1,0.71,21.0,2.0,1,25.0,6.0,Washington State,1.0,teaching and then...,8.0,1.0,7.0,8.0,6.0,6.0,9.0,8.5,6.0,0.939
591,214,1,205.0,0,0.32,23.0,2.0,0,23.0,2.0,Philadelphia,1.0,Research Scientist,8.0,4.0,7.0,3.0,7.0,8.0,7.0,5.0,3.0,0.907
592,437,0,447.0,0,0.34,26.0,4.0,0,23.0,2.0,North Carolina,1.0,Social Work,8.0,5.0,6.0,9.0,5.0,6.5,9.0,10.0,7.0,0.951
593,385,0,398.0,1,0.47,29.0,2.0,1,25.0,2.0,Oregon,2.0,Elementary Education Teaching,10.0,6.0,8.0,9.0,9.0,8.0,10.0,9.0,6.0,0.95
594,323,0,339.0,1,0.0,26.0,,1,25.0,4.0,Taiwan,2.0,Education,7.0,6.0,6.0,7.0,8.0,6.5,8.0,8.0,8.0,0.981
595,61,0,75.0,1,0.28,24.0,6.0,1,28.0,2.0,"Tuscaloosa, Alabama",1.0,Academic,10.0,1.0,5.0,10.0,8.0,5.0,10.0,9.0,6.0,0.928
596,121,0,130.0,0,-0.23,20.0,4.0,0,21.0,2.0,"Memphis, TN",5.0,"no idea, maybe a professor",10.0,4.0,7.0,7.0,10.0,5.0,10.0,10.0,8.0,0.89
597,92,0,107.0,1,0.8,21.0,2.0,1,29.0,2.0,San Francisco,5.0,Microfinancing Program Manager,10.0,2.0,9.0,10.0,6.0,8.5,9.0,9.0,4.0,0.968
598,186,1,176.0,1,0.5,28.0,4.0,1,24.0,4.0,Kansas,1.0,Professor,9.0,1.0,1.0,6.0,6.0,4.5,4.0,8.0,7.0,0.943
599,533,1,515.0,0,0.6,23.0,2.0,0,26.0,2.0,Greece,2.0,Academic/ Finance,7.0,2.0,5.0,3.0,2.0,6.0,5.0,6.5,3.0,0.952
600,449,1,431.0,0,0.31,27.0,4.0,0,23.0,6.0,New York,1.0,Business/Law,8.0,3.0,1.0,9.0,4.0,5.5,6.0,4.0,7.0,0.954
601,492,1,468.0,1,0.16,25.0,6.0,1,30.0,6.0,new york,2.0,acadeic,10.0,2.0,4.0,10.0,10.0,10.0,10.0,3.5,7.0,0.939
602,354,0,372.0,1,0.54,27.0,2.0,1,22.0,2.0,Manhattan,1.0,Clinical Psychology,10.0,1.0,1.0,8.0,10.0,8.0,8.0,10.0,10.0,0.941
